index	name	abbreviation	r	g	b	a
1025	ctx-lh-precuneus	ctx-lh-precuneus	160	140	180	0
1026	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralanteriorcingulate	80	20	140	0
1027	ctx-lh-rostralmiddlefrontal	ctx-lh-rostralmiddlefrontal	75	50	125	0
1028	ctx-lh-superiorfrontal	ctx-lh-superiorfrontal	20	220	160	0
1029	ctx-lh-superiorparietal	ctx-lh-superiorparietal	20	180	140	0
1030	ctx-lh-superiortemporal	ctx-lh-superiortemporal	140	220	220	0
1031	ctx-lh-supramarginal	ctx-lh-supramarginal	80	160	20	0
1032	ctx-lh-frontalpole	ctx-lh-frontalpole	100	0	100	0
1033	ctx-lh-temporalpole	ctx-lh-temporalpole	70	70	70	0
1034	ctx-lh-transversetemporal	ctx-lh-transversetemporal	150	150	200	0
1035	ctx-lh-insula	ctx-lh-insula	255	192	32	0
2000	ctx-rh-unknown	ctx-rh-unknown	25	5	25	0
2001	ctx-rh-bankssts	ctx-rh-bankssts	25	100	40	0
2002	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalanteriorcingulate	125	100	160	0
2003	ctx-rh-caudalmiddlefrontal	ctx-rh-caudalmiddlefrontal	100	25	0	0
2004	ctx-rh-corpuscallosum	ctx-rh-corpuscallosum	120	70	50	0
2005	ctx-rh-cuneus	ctx-rh-cuneus	220	20	100	0
2006	ctx-rh-entorhinal	ctx-rh-entorhinal	220	20	10	0
2007	ctx-rh-fusiform	ctx-rh-fusiform	180	220	140	0
2008	ctx-rh-inferiorparietal	ctx-rh-inferiorparietal	220	60	220	0
2009	ctx-rh-inferiortemporal	ctx-rh-inferiortemporal	180	40	120	0
2010	ctx-rh-isthmuscingulate	ctx-rh-isthmuscingulate	140	20	140	0
2011	ctx-rh-lateraloccipital	ctx-rh-lateraloccipital	20	30	140	0
2012	ctx-rh-lateralorbitofrontal	ctx-rh-lateralorbitofrontal	35	75	50	0
2013	ctx-rh-lingual	ctx-rh-lingual	225	140	140	0
2014	ctx-rh-medialorbitofrontal	ctx-rh-medialorbitofrontal	200	35	75	0
2015	ctx-rh-middletemporal	ctx-rh-middletemporal	160	100	50	0
2016	ctx-rh-parahippocampal	ctx-rh-parahippocampal	20	220	60	0
2017	ctx-rh-paracentral	ctx-rh-paracentral	60	220	60	0
2018	ctx-rh-parsopercularis	ctx-rh-parsopercularis	220	180	140	0
2019	ctx-rh-parsorbitalis	ctx-rh-parsorbitalis	20	100	50	0
2020	ctx-rh-parstriangularis	ctx-rh-parstriangularis	220	60	20	0
2021	ctx-rh-pericalcarine	ctx-rh-pericalcarine	120	100	60	0
2022	ctx-rh-postcentral	ctx-rh-postcentral	220	20	20	0
2023	ctx-rh-posteriorcingulate	ctx-rh-posteriorcingulate	220	180	220	0
2024	ctx-rh-precentral	ctx-rh-precentral	60	20	220	0
2025	ctx-rh-precuneus	ctx-rh-precuneus	160	140	180	0
2026	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralanteriorcingulate	80	20	140	0
2027	ctx-rh-rostralmiddlefrontal	ctx-rh-rostralmiddlefrontal	75	50	125	0
2028	ctx-rh-superiorfrontal	ctx-rh-superiorfrontal	20	220	160	0
2029	ctx-rh-superiorparietal	ctx-rh-superiorparietal	20	180	140	0
2030	ctx-rh-superiortemporal	ctx-rh-superiortemporal	140	220	220	0
2031	ctx-rh-supramarginal	ctx-rh-supramarginal	80	160	20	0
2032	ctx-rh-frontalpole	ctx-rh-frontalpole	100	0	100	0
2033	ctx-rh-temporalpole	ctx-rh-temporalpole	70	70	70	0
2034	ctx-rh-transversetemporal	ctx-rh-transversetemporal	150	150	200	0
2035	ctx-rh-insula	ctx-rh-insula	255	192	32	0
3000	wm-lh-unknown	wm-lh-unknown	230	250	230	0
3001	wm-lh-bankssts	wm-lh-bankssts	230	155	215	0
3002	wm-lh-caudalanteriorcingulate	wm-lh-caudalanteriorcingulate	130	155	95	0
3003	wm-lh-caudalmiddlefrontal	wm-lh-caudalmiddlefrontal	155	230	255	0
3004	wm-lh-corpuscallosum	wm-lh-corpuscallosum	135	185	205	0
3005	wm-lh-cuneus	wm-lh-cuneus	35	235	155	0
3006	wm-lh-entorhinal	wm-lh-entorhinal	35	235	245	0
3007	wm-lh-fusiform	wm-lh-fusiform	75	35	115	0
3008	wm-lh-inferiorparietal	wm-lh-inferiorparietal	35	195	35	0
3009	wm-lh-inferiortemporal	wm-lh-inferiortemporal	75	215	135	0
3010	wm-lh-isthmuscingulate	wm-lh-isthmuscingulate	115	235	115	0
3011	wm-lh-lateraloccipital	wm-lh-lateraloccipital	235	225	115	0
3012	wm-lh-lateralorbitofrontal	wm-lh-lateralorbitofrontal	220	180	205	0
3013	wm-lh-lingual	wm-lh-lingual	30	115	115	0
3014	wm-lh-medialorbitofrontal	wm-lh-medialorbitofrontal	55	220	180	0
3015	wm-lh-middletemporal	wm-lh-middletemporal	95	155	205	0
3016	wm-lh-parahippocampal	wm-lh-parahippocampal	235	35	195	0
3017	wm-lh-paracentral	wm-lh-paracentral	195	35	195	0
3018	wm-lh-parsopercularis	wm-lh-parsopercularis	35	75	115	0
3019	wm-lh-parsorbitalis	wm-lh-parsorbitalis	235	155	205	0
3020	wm-lh-parstriangularis	wm-lh-parstriangularis	35	195	235	0
3021	wm-lh-pericalcarine	wm-lh-pericalcarine	135	155	195	0
3022	wm-lh-postcentral	wm-lh-postcentral	35	235	235	0
3023	wm-lh-posteriorcingulate	wm-lh-posteriorcingulate	35	75	35	0
3024	wm-lh-precentral	wm-lh-precentral	195	235	35	0
3025	wm-lh-precuneus	wm-lh-precuneus	95	115	75	0
3026	wm-lh-rostralanteriorcingulate	wm-lh-rostralanteriorcingulate	175	235	115	0
3027	wm-lh-rostralmiddlefrontal	wm-lh-rostralmiddlefrontal	180	205	130	0
3028	wm-lh-superiorfrontal	wm-lh-superiorfrontal	235	35	95	0
3029	wm-lh-superiorparietal	wm-lh-superiorparietal	235	75	115	0
3030	wm-lh-superiortemporal	wm-lh-superiortemporal	115	35	35	0
3031	wm-lh-supramarginal	wm-lh-supramarginal	175	95	235	0
3032	wm-lh-frontalpole	wm-lh-frontalpole	155	255	155	0
3033	wm-lh-temporalpole	wm-lh-temporalpole	185	185	185	0
3034	wm-lh-transversetemporal	wm-lh-transversetemporal	105	105	55	0
3035	wm-lh-insula	wm-lh-insula	20	220	160	0
4000	wm-rh-unknown	wm-rh-unknown	230	250	230	0
4001	wm-rh-bankssts	wm-rh-bankssts	230	155	215	0
4002	wm-rh-caudalanteriorcingulate	wm-rh-caudalanteriorcingulate	130	155	95	0
4003	wm-rh-caudalmiddlefrontal	wm-rh-caudalmiddlefrontal	155	230	255	0
4004	wm-rh-corpuscallosum	wm-rh-corpuscallosum	135	185	205	0
4005	wm-rh-cuneus	wm-rh-cuneus	35	235	155	0
4006	wm-rh-entorhinal	wm-rh-entorhinal	35	235	245	0
4007	wm-rh-fusiform	wm-rh-fusiform	75	35	115	0
4008	wm-rh-inferiorparietal	wm-rh-inferiorparietal	35	195	35	0
4009	wm-rh-inferiortemporal	wm-rh-inferiortemporal	75	215	135	0
4010	wm-rh-isthmuscingulate	wm-rh-isthmuscingulate	115	235	115	0
4011	wm-rh-lateraloccipital	wm-rh-lateraloccipital	235	225	115	0
4012	wm-rh-lateralorbitofrontal	wm-rh-lateralorbitofrontal	220	180	205	0
4013	wm-rh-lingual	wm-rh-lingual	30	115	115	0
4014	wm-rh-medialorbitofrontal	wm-rh-medialorbitofrontal	55	220	180	0
4015	wm-rh-middletemporal	wm-rh-middletemporal	95	155	205	0
4016	wm-rh-parahippocampal	wm-rh-parahippocampal	235	35	195	0
4017	wm-rh-paracentral	wm-rh-paracentral	195	35	195	0
4018	wm-rh-parsopercularis	wm-rh-parsopercularis	35	75	115	0
4019	wm-rh-parsorbitalis	wm-rh-parsorbitalis	235	155	205	0
4020	wm-rh-parstriangularis	wm-rh-parstriangularis	35	195	235	0
4021	wm-rh-pericalcarine	wm-rh-pericalcarine	135	155	195	0
4022	wm-rh-postcentral	wm-rh-postcentral	35	235	235	0
4023	wm-rh-posteriorcingulate	wm-rh-posteriorcingulate	35	75	35	0
4024	wm-rh-precentral	wm-rh-precentral	195	235	35	0
4025	wm-rh-precuneus	wm-rh-precuneus	95	115	75	0
4026	wm-rh-rostralanteriorcingulate	wm-rh-rostralanteriorcingulate	175	235	115	0
4027	wm-rh-rostralmiddlefrontal	wm-rh-rostralmiddlefrontal	180	205	130	0
4028	wm-rh-superiorfrontal	wm-rh-superiorfrontal	235	35	95	0
4029	wm-rh-superiorparietal	wm-rh-superiorparietal	235	75	115	0
4030	wm-rh-superiortemporal	wm-rh-superiortemporal	115	35	35	0
4031	wm-rh-supramarginal	wm-rh-supramarginal	175	95	235	0
4032	wm-rh-frontalpole	wm-rh-frontalpole	155	255	155	0
4033	wm-rh-temporalpole	wm-rh-temporalpole	185	185	185	0
4034	wm-rh-transversetemporal	wm-rh-transversetemporal	105	105	55	0
4035	wm-rh-insula	wm-rh-insula	20	220	160	0
3201	wm-lh-frontal-lobe	wm-lh-frontal-lobe	235	35	95	0
3203	wm-lh-cingulate-lobe	wm-lh-cingulate-lobe	35	75	35	0
3204	wm-lh-occiptal-lobe	wm-lh-occiptal-lobe	135	155	195	0
3205	wm-lh-temporal-lobe	wm-lh-temporal-lobe	115	35	35	0
3206	wm-lh-parietal-lobe	wm-lh-parietal-lobe	35	195	35	0
3207	wm-lh-insula-lobe	wm-lh-insula-lobe	20	220	160	0
4201	wm-rh-frontal-lobe	wm-rh-frontal-lobe	235	35	95	0
4203	wm-rh-cingulate-lobe	wm-rh-cingulate-lobe	35	75	35	0
4204	wm-rh-occiptal-lobe	wm-rh-occiptal-lobe	135	155	195	0
4205	wm-rh-temporal-lobe	wm-rh-temporal-lobe	115	35	35	0
4206	wm-rh-parietal-lobe	wm-rh-parietal-lobe	35	195	35	0
4207	wm-rh-insula-lobe	wm-rh-insula-lobe	20	220	160	0
1100	ctx-lh-Unknown	ctx-lh-Unknown	0	0	0	0
1101	ctx-lh-Corpus_callosum	ctx-lh-Corpus_callosum	50	50	50	0
1102	ctx-lh-G_and_S_Insula_ONLY_AVERAGE	ctx-lh-G_and_S_Insula_ONLY_AVERAGE	180	20	30	0
1103	ctx-lh-G_cingulate-Isthmus	ctx-lh-G_cingulate-Isthmus	60	25	25	0
1104	ctx-lh-G_cingulate-Main_part	ctx-lh-G_cingulate-Main_part	25	60	60	0
1200	ctx-lh-G_cingulate-caudal_ACC	ctx-lh-G_cingulate-caudal_ACC	25	60	61	0
1201	ctx-lh-G_cingulate-rostral_ACC	ctx-lh-G_cingulate-rostral_ACC	25	90	60	0
1202	ctx-lh-G_cingulate-posterior	ctx-lh-G_cingulate-posterior	25	120	60	0
1205	ctx-lh-S_cingulate-caudal_ACC	ctx-lh-S_cingulate-caudal_ACC	25	150	60	0
1206	ctx-lh-S_cingulate-rostral_ACC	ctx-lh-S_cingulate-rostral_ACC	25	180	60	0
1207	ctx-lh-S_cingulate-posterior	ctx-lh-S_cingulate-posterior	25	210	60	0
1210	ctx-lh-S_pericallosal-caudal	ctx-lh-S_pericallosal-caudal	25	150	90	0
1211	ctx-lh-S_pericallosal-rostral	ctx-lh-S_pericallosal-rostral	25	180	90	0
1212	ctx-lh-S_pericallosal-posterior	ctx-lh-S_pericallosal-posterior	25	210	90	0
1105	ctx-lh-G_cuneus	ctx-lh-G_cuneus	180	20	20	0
1106	ctx-lh-G_frontal_inf-Opercular_part	ctx-lh-G_frontal_inf-Opercular_part	220	20	100	0
1107	ctx-lh-G_frontal_inf-Orbital_part	ctx-lh-G_frontal_inf-Orbital_part	140	60	60	0
1108	ctx-lh-G_frontal_inf-Triangular_part	ctx-lh-G_frontal_inf-Triangular_part	180	220	140	0
1109	ctx-lh-G_frontal_middle	ctx-lh-G_frontal_middle	140	100	180	0
1110	ctx-lh-G_frontal_superior	ctx-lh-G_frontal_superior	180	20	140	0
1111	ctx-lh-G_frontomarginal	ctx-lh-G_frontomarginal	140	20	140	0
1112	ctx-lh-G_insular_long	ctx-lh-G_insular_long	21	10	10	0
1113	ctx-lh-G_insular_short	ctx-lh-G_insular_short	225	140	140	0
1114	ctx-lh-G_and_S_occipital_inferior	ctx-lh-G_and_S_occipital_inferior	23	60	180	0
1115	ctx-lh-G_occipital_middle	ctx-lh-G_occipital_middle	180	60	180	0
1116	ctx-lh-G_occipital_superior	ctx-lh-G_occipital_superior	20	220	60	0
1117	ctx-lh-G_occipit-temp_lat-Or_fusiform	ctx-lh-G_occipit-temp_lat-Or_fusiform	60	20	140	0
1118	ctx-lh-G_occipit-temp_med-Lingual_part	ctx-lh-G_occipit-temp_med-Lingual_part	220	180	140	0
1119	ctx-lh-G_occipit-temp_med-Parahippocampal_part	ctx-lh-G_occipit-temp_med-Parahippocampal_part	65	100	20	0
1120	ctx-lh-G_orbital	ctx-lh-G_orbital	220	60	20	0
1121	ctx-lh-G_paracentral	ctx-lh-G_paracentral	60	100	60	0
1122	ctx-lh-G_parietal_inferior-Angular_part	ctx-lh-G_parietal_inferior-Angular_part	20	60	220	0
1123	ctx-lh-G_parietal_inferior-Supramarginal_part	ctx-lh-G_parietal_inferior-Supramarginal_part	100	100	60	0
1124	ctx-lh-G_parietal_superior	ctx-lh-G_parietal_superior	220	180	220	0
1125	ctx-lh-G_postcentral	ctx-lh-G_postcentral	20	180	140	0
1126	ctx-lh-G_precentral	ctx-lh-G_precentral	60	140	180	0
1127	ctx-lh-G_precuneus	ctx-lh-G_precuneus	25	20	140	0
1128	ctx-lh-G_rectus	ctx-lh-G_rectus	20	60	100	0
1129	ctx-lh-G_subcallosal	ctx-lh-G_subcallosal	60	220	20	0
1130	ctx-lh-G_subcentral	ctx-lh-G_subcentral	60	20	220	0
1131	ctx-lh-G_temporal_inferior	ctx-lh-G_temporal_inferior	220	220	100	0
1132	ctx-lh-G_temporal_middle	ctx-lh-G_temporal_middle	180	60	60	0
1133	ctx-lh-G_temp_sup-G_temp_transv_and_interm_S	ctx-lh-G_temp_sup-G_temp_transv_and_interm_S	60	60	220	0
1134	ctx-lh-G_temp_sup-Lateral_aspect	ctx-lh-G_temp_sup-Lateral_aspect	220	60	220	0
1135	ctx-lh-G_temp_sup-Planum_polare	ctx-lh-G_temp_sup-Planum_polare	65	220	60	0
1136	ctx-lh-G_temp_sup-Planum_tempolare	ctx-lh-G_temp_sup-Planum_tempolare	25	140	20	0
1137	ctx-lh-G_and_S_transverse_frontopolar	ctx-lh-G_and_S_transverse_frontopolar	13	0	250	0
1138	ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal	ctx-lh-Lat_Fissure-ant_sgt-ramus_horizontal	61	20	220	0
1139	ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical	ctx-lh-Lat_Fissure-ant_sgt-ramus_vertical	61	20	60	0
1140	ctx-lh-Lat_Fissure-post_sgt	ctx-lh-Lat_Fissure-post_sgt	61	60	100	0
1141	ctx-lh-Medial_wall	ctx-lh-Medial_wall	25	25	25	0
1142	ctx-lh-Pole_occipital	ctx-lh-Pole_occipital	140	20	60	0
1143	ctx-lh-Pole_temporal	ctx-lh-Pole_temporal	220	180	20	0
1144	ctx-lh-S_calcarine	ctx-lh-S_calcarine	63	180	180	0
1145	ctx-lh-S_central	ctx-lh-S_central	221	20	10	0
1146	ctx-lh-S_central_insula	ctx-lh-S_central_insula	21	220	20	0
1147	ctx-lh-S_cingulate-Main_part_and_Intracingulate	ctx-lh-S_cingulate-Main_part_and_Intracingulate	183	100	20	0
1148	ctx-lh-S_cingulate-Marginalis_part	ctx-lh-S_cingulate-Marginalis_part	221	20	100	0
1149	ctx-lh-S_circular_insula_anterior	ctx-lh-S_circular_insula_anterior	221	60	140	0
1150	ctx-lh-S_circular_insula_inferior	ctx-lh-S_circular_insula_inferior	221	20	220	0
1151	ctx-lh-S_circular_insula_superior	ctx-lh-S_circular_insula_superior	61	220	220	0
1152	ctx-lh-S_collateral_transverse_ant	ctx-lh-S_collateral_transverse_ant	100	200	200	0
1153	ctx-lh-S_collateral_transverse_post	ctx-lh-S_collateral_transverse_post	10	200	200	0
1154	ctx-lh-S_frontal_inferior	ctx-lh-S_frontal_inferior	221	220	20	0
1155	ctx-lh-S_frontal_middle	ctx-lh-S_frontal_middle	141	20	100	0
1156	ctx-lh-S_frontal_superior	ctx-lh-S_frontal_superior	61	220	100	0
1157	ctx-lh-S_frontomarginal	ctx-lh-S_frontomarginal	21	220	60	0
1158	ctx-lh-S_intermedius_primus-Jensen	ctx-lh-S_intermedius_primus-Jensen	141	60	20	0
1159	ctx-lh-S_intraparietal-and_Parietal_transverse	ctx-lh-S_intraparietal-and_Parietal_transverse	143	20	220	0
1160	ctx-lh-S_occipital_anterior	ctx-lh-S_occipital_anterior	61	20	180	0
1161	ctx-lh-S_occipital_middle_and_Lunatus	ctx-lh-S_occipital_middle_and_Lunatus	101	60	220	0
1162	ctx-lh-S_occipital_superior_and_transversalis	ctx-lh-S_occipital_superior_and_transversalis	21	20	140	0
1163	ctx-lh-S_occipito-temporal_lateral	ctx-lh-S_occipito-temporal_lateral	221	140	20	0
1164	ctx-lh-S_occipito-temporal_medial_and_S_Lingual	ctx-lh-S_occipito-temporal_medial_and_S_Lingual	141	100	220	0
1165	ctx-lh-S_orbital-H_shapped	ctx-lh-S_orbital-H_shapped	101	20	20	0
1166	ctx-lh-S_orbital_lateral	ctx-lh-S_orbital_lateral	221	100	20	0
1167	ctx-lh-S_orbital_medial-Or_olfactory	ctx-lh-S_orbital_medial-Or_olfactory	181	200	20	0
1168	ctx-lh-S_paracentral	ctx-lh-S_paracentral	21	180	140	0
1169	ctx-lh-S_parieto_occipital	ctx-lh-S_parieto_occipital	101	100	180	0
1170	ctx-lh-S_pericallosal	ctx-lh-S_pericallosal	181	220	20	0
1171	ctx-lh-S_postcentral	ctx-lh-S_postcentral	21	140	200	0
1172	ctx-lh-S_precentral-Inferior-part	ctx-lh-S_precentral-Inferior-part	21	20	240	0
1173	ctx-lh-S_precentral-Superior-part	ctx-lh-S_precentral-Superior-part	21	20	200	0
1174	ctx-lh-S_subcentral_ant	ctx-lh-S_subcentral_ant	61	180	60	0
1175	ctx-lh-S_subcentral_post	ctx-lh-S_subcentral_post	61	180	250	0
1176	ctx-lh-S_suborbital	ctx-lh-S_suborbital	21	20	60	0
1177	ctx-lh-S_subparietal	ctx-lh-S_subparietal	101	60	60	0
1178	ctx-lh-S_supracingulate	ctx-lh-S_supracingulate	21	220	220	0
1179	ctx-lh-S_temporal_inferior	ctx-lh-S_temporal_inferior	21	180	180	0
1180	ctx-lh-S_temporal_superior	ctx-lh-S_temporal_superior	223	220	60	0
1181	ctx-lh-S_temporal_transverse	ctx-lh-S_temporal_transverse	221	60	60	0
2100	ctx-rh-Unknown	ctx-rh-Unknown	0	0	0	0
2101	ctx-rh-Corpus_callosum	ctx-rh-Corpus_callosum	50	50	50	0
2102	ctx-rh-G_and_S_Insula_ONLY_AVERAGE	ctx-rh-G_and_S_Insula_ONLY_AVERAGE	180	20	30	0
2103	ctx-rh-G_cingulate-Isthmus	ctx-rh-G_cingulate-Isthmus	60	25	25	0
2104	ctx-rh-G_cingulate-Main_part	ctx-rh-G_cingulate-Main_part	25	60	60	0
2105	ctx-rh-G_cuneus	ctx-rh-G_cuneus	180	20	20	0
2106	ctx-rh-G_frontal_inf-Opercular_part	ctx-rh-G_frontal_inf-Opercular_part	220	20	100	0
2107	ctx-rh-G_frontal_inf-Orbital_part	ctx-rh-G_frontal_inf-Orbital_part	140	60	60	0
2108	ctx-rh-G_frontal_inf-Triangular_part	ctx-rh-G_frontal_inf-Triangular_part	180	220	140	0
2109	ctx-rh-G_frontal_middle	ctx-rh-G_frontal_middle	140	100	180	0
2110	ctx-rh-G_frontal_superior	ctx-rh-G_frontal_superior	180	20	140	0
2111	ctx-rh-G_frontomarginal	ctx-rh-G_frontomarginal	140	20	140	0
2112	ctx-rh-G_insular_long	ctx-rh-G_insular_long	21	10	10	0
2113	ctx-rh-G_insular_short	ctx-rh-G_insular_short	225	140	140	0
2114	ctx-rh-G_and_S_occipital_inferior	ctx-rh-G_and_S_occipital_inferior	23	60	180	0
2115	ctx-rh-G_occipital_middle	ctx-rh-G_occipital_middle	180	60	180	0
2116	ctx-rh-G_occipital_superior	ctx-rh-G_occipital_superior	20	220	60	0
2117	ctx-rh-G_occipit-temp_lat-Or_fusiform	ctx-rh-G_occipit-temp_lat-Or_fusiform	60	20	140	0
2118	ctx-rh-G_occipit-temp_med-Lingual_part	ctx-rh-G_occipit-temp_med-Lingual_part	220	180	140	0
2119	ctx-rh-G_occipit-temp_med-Parahippocampal_part	ctx-rh-G_occipit-temp_med-Parahippocampal_part	65	100	20	0
2120	ctx-rh-G_orbital	ctx-rh-G_orbital	220	60	20	0
2121	ctx-rh-G_paracentral	ctx-rh-G_paracentral	60	100	60	0
2122	ctx-rh-G_parietal_inferior-Angular_part	ctx-rh-G_parietal_inferior-Angular_part	20	60	220	0
2123	ctx-rh-G_parietal_inferior-Supramarginal_part	ctx-rh-G_parietal_inferior-Supramarginal_part	100	100	60	0
2124	ctx-rh-G_parietal_superior	ctx-rh-G_parietal_superior	220	180	220	0
2125	ctx-rh-G_postcentral	ctx-rh-G_postcentral	20	180	140	0
2126	ctx-rh-G_precentral	ctx-rh-G_precentral	60	140	180	0
2127	ctx-rh-G_precuneus	ctx-rh-G_precuneus	25	20	140	0
2128	ctx-rh-G_rectus	ctx-rh-G_rectus	20	60	100	0
2129	ctx-rh-G_subcallosal	ctx-rh-G_subcallosal	60	220	20	0
2130	ctx-rh-G_subcentral	ctx-rh-G_subcentral	60	20	220	0
2131	ctx-rh-G_temporal_inferior	ctx-rh-G_temporal_inferior	220	220	100	0
2132	ctx-rh-G_temporal_middle	ctx-rh-G_temporal_middle	180	60	60	0
2133	ctx-rh-G_temp_sup-G_temp_transv_and_interm_S	ctx-rh-G_temp_sup-G_temp_transv_and_interm_S	60	60	220	0
2134	ctx-rh-G_temp_sup-Lateral_aspect	ctx-rh-G_temp_sup-Lateral_aspect	220	60	220	0
2135	ctx-rh-G_temp_sup-Planum_polare	ctx-rh-G_temp_sup-Planum_polare	65	220	60	0
2136	ctx-rh-G_temp_sup-Planum_tempolare	ctx-rh-G_temp_sup-Planum_tempolare	25	140	20	0
2137	ctx-rh-G_and_S_transverse_frontopolar	ctx-rh-G_and_S_transverse_frontopolar	13	0	250	0
2138	ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal	ctx-rh-Lat_Fissure-ant_sgt-ramus_horizontal	61	20	220	0
2139	ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical	ctx-rh-Lat_Fissure-ant_sgt-ramus_vertical	61	20	60	0
2140	ctx-rh-Lat_Fissure-post_sgt	ctx-rh-Lat_Fissure-post_sgt	61	60	100	0
2141	ctx-rh-Medial_wall	ctx-rh-Medial_wall	25	25	25	0
2142	ctx-rh-Pole_occipital	ctx-rh-Pole_occipital	140	20	60	0
2143	ctx-rh-Pole_temporal	ctx-rh-Pole_temporal	220	180	20	0
2144	ctx-rh-S_calcarine	ctx-rh-S_calcarine	63	180	180	0
2145	ctx-rh-S_central	ctx-rh-S_central	221	20	10	0
2146	ctx-rh-S_central_insula	ctx-rh-S_central_insula	21	220	20	0
2147	ctx-rh-S_cingulate-Main_part_and_Intracingulate	ctx-rh-S_cingulate-Main_part_and_Intracingulate	183	100	20	0
2148	ctx-rh-S_cingulate-Marginalis_part	ctx-rh-S_cingulate-Marginalis_part	221	20	100	0
2149	ctx-rh-S_circular_insula_anterior	ctx-rh-S_circular_insula_anterior	221	60	140	0
2150	ctx-rh-S_circular_insula_inferior	ctx-rh-S_circular_insula_inferior	221	20	220	0
2151	ctx-rh-S_circular_insula_superior	ctx-rh-S_circular_insula_superior	61	220	220	0
2152	ctx-rh-S_collateral_transverse_ant	ctx-rh-S_collateral_transverse_ant	100	200	200	0
2153	ctx-rh-S_collateral_transverse_post	ctx-rh-S_collateral_transverse_post	10	200	200	0
2154	ctx-rh-S_frontal_inferior	ctx-rh-S_frontal_inferior	221	220	20	0
2155	ctx-rh-S_frontal_middle	ctx-rh-S_frontal_middle	141	20	100	0
2156	ctx-rh-S_frontal_superior	ctx-rh-S_frontal_superior	61	220	100	0
2157	ctx-rh-S_frontomarginal	ctx-rh-S_frontomarginal	21	220	60	0
2158	ctx-rh-S_intermedius_primus-Jensen	ctx-rh-S_intermedius_primus-Jensen	141	60	20	0
2159	ctx-rh-S_intraparietal-and_Parietal_transverse	ctx-rh-S_intraparietal-and_Parietal_transverse	143	20	220	0
2160	ctx-rh-S_occipital_anterior	ctx-rh-S_occipital_anterior	61	20	180	0
2161	ctx-rh-S_occipital_middle_and_Lunatus	ctx-rh-S_occipital_middle_and_Lunatus	101	60	220	0
2162	ctx-rh-S_occipital_superior_and_transversalis	ctx-rh-S_occipital_superior_and_transversalis	21	20	140	0
2163	ctx-rh-S_occipito-temporal_lateral	ctx-rh-S_occipito-temporal_lateral	221	140	20	0
2164	ctx-rh-S_occipito-temporal_medial_and_S_Lingual	ctx-rh-S_occipito-temporal_medial_and_S_Lingual	141	100	220	0
