index	name	abbreviation	r	g	b	a
11109	ctx_lh_G_cingul-Post-dorsal	ctx_lh_G_cingul-Post-dorsal	25	60	250	0
11110	ctx_lh_G_cingul-Post-ventral	ctx_lh_G_cingul-Post-ventral	60	25	25	0
11111	ctx_lh_G_cuneus	ctx_lh_G_cuneus	180	20	20	0
11112	ctx_lh_G_front_inf-Opercular	ctx_lh_G_front_inf-Opercular	220	20	100	0
11113	ctx_lh_G_front_inf-Orbital	ctx_lh_G_front_inf-Orbital	140	60	60	0
11114	ctx_lh_G_front_inf-Triangul	ctx_lh_G_front_inf-Triangul	180	220	140	0
11115	ctx_lh_G_front_middle	ctx_lh_G_front_middle	140	100	180	0
11116	ctx_lh_G_front_sup	ctx_lh_G_front_sup	180	20	140	0
11117	ctx_lh_G_Ins_lg_and_S_cent_ins	ctx_lh_G_Ins_lg_and_S_cent_ins	23	10	10	0
11118	ctx_lh_G_insular_short	ctx_lh_G_insular_short	225	140	140	0
11119	ctx_lh_G_occipital_middle	ctx_lh_G_occipital_middle	180	60	180	0
11120	ctx_lh_G_occipital_sup	ctx_lh_G_occipital_sup	20	220	60	0
11121	ctx_lh_G_oc-temp_lat-fusifor	ctx_lh_G_oc-temp_lat-fusifor	60	20	140	0
11122	ctx_lh_G_oc-temp_med-Lingual	ctx_lh_G_oc-temp_med-Lingual	220	180	140	0
11123	ctx_lh_G_oc-temp_med-Parahip	ctx_lh_G_oc-temp_med-Parahip	65	100	20	0
11124	ctx_lh_G_orbital	ctx_lh_G_orbital	220	60	20	0
11125	ctx_lh_G_pariet_inf-Angular	ctx_lh_G_pariet_inf-Angular	20	60	220	0
11126	ctx_lh_G_pariet_inf-Supramar	ctx_lh_G_pariet_inf-Supramar	100	100	60	0
11127	ctx_lh_G_parietal_sup	ctx_lh_G_parietal_sup	220	180	220	0
11128	ctx_lh_G_postcentral	ctx_lh_G_postcentral	20	180	140	0
11129	ctx_lh_G_precentral	ctx_lh_G_precentral	60	140	180	0
11130	ctx_lh_G_precuneus	ctx_lh_G_precuneus	25	20	140	0
11131	ctx_lh_G_rectus	ctx_lh_G_rectus	20	60	100	0
11132	ctx_lh_G_subcallosal	ctx_lh_G_subcallosal	60	220	20	0
11133	ctx_lh_G_temp_sup-G_T_transv	ctx_lh_G_temp_sup-G_T_transv	60	60	220	0
11134	ctx_lh_G_temp_sup-Lateral	ctx_lh_G_temp_sup-Lateral	220	60	220	0
11135	ctx_lh_G_temp_sup-Plan_polar	ctx_lh_G_temp_sup-Plan_polar	65	220	60	0
11136	ctx_lh_G_temp_sup-Plan_tempo	ctx_lh_G_temp_sup-Plan_tempo	25	140	20	0
11137	ctx_lh_G_temporal_inf	ctx_lh_G_temporal_inf	220	220	100	0
11138	ctx_lh_G_temporal_middle	ctx_lh_G_temporal_middle	180	60	60	0
11139	ctx_lh_Lat_Fis-ant-Horizont	ctx_lh_Lat_Fis-ant-Horizont	61	20	220	0
11140	ctx_lh_Lat_Fis-ant-Vertical	ctx_lh_Lat_Fis-ant-Vertical	61	20	60	0
11141	ctx_lh_Lat_Fis-post	ctx_lh_Lat_Fis-post	61	60	100	0
11142	ctx_lh_Medial_wall	ctx_lh_Medial_wall	25	25	25	0
11143	ctx_lh_Pole_occipital	ctx_lh_Pole_occipital	140	20	60	0
11144	ctx_lh_Pole_temporal	ctx_lh_Pole_temporal	220	180	20	0
11145	ctx_lh_S_calcarine	ctx_lh_S_calcarine	63	180	180	0
11146	ctx_lh_S_central	ctx_lh_S_central	221	20	10	0
11147	ctx_lh_S_cingul-Marginalis	ctx_lh_S_cingul-Marginalis	221	20	100	0
11148	ctx_lh_S_circular_insula_ant	ctx_lh_S_circular_insula_ant	221	60	140	0
11149	ctx_lh_S_circular_insula_inf	ctx_lh_S_circular_insula_inf	221	20	220	0
11150	ctx_lh_S_circular_insula_sup	ctx_lh_S_circular_insula_sup	61	220	220	0
11151	ctx_lh_S_collat_transv_ant	ctx_lh_S_collat_transv_ant	100	200	200	0
11152	ctx_lh_S_collat_transv_post	ctx_lh_S_collat_transv_post	10	200	200	0
11153	ctx_lh_S_front_inf	ctx_lh_S_front_inf	221	220	20	0
11154	ctx_lh_S_front_middle	ctx_lh_S_front_middle	141	20	100	0
11155	ctx_lh_S_front_sup	ctx_lh_S_front_sup	61	220	100	0
11156	ctx_lh_S_interm_prim-Jensen	ctx_lh_S_interm_prim-Jensen	141	60	20	0
11157	ctx_lh_S_intrapariet_and_P_trans	ctx_lh_S_intrapariet_and_P_trans	143	20	220	0
11158	ctx_lh_S_oc_middle_and_Lunatus	ctx_lh_S_oc_middle_and_Lunatus	101	60	220	0
11159	ctx_lh_S_oc_sup_and_transversal	ctx_lh_S_oc_sup_and_transversal	21	20	140	0
11160	ctx_lh_S_occipital_ant	ctx_lh_S_occipital_ant	61	20	180	0
11161	ctx_lh_S_oc-temp_lat	ctx_lh_S_oc-temp_lat	221	140	20	0
11162	ctx_lh_S_oc-temp_med_and_Lingual	ctx_lh_S_oc-temp_med_and_Lingual	141	100	220	0
11163	ctx_lh_S_orbital_lateral	ctx_lh_S_orbital_lateral	221	100	20	0
11164	ctx_lh_S_orbital_med-olfact	ctx_lh_S_orbital_med-olfact	181	200	20	0
11165	ctx_lh_S_orbital-H_Shaped	ctx_lh_S_orbital-H_Shaped	101	20	20	0
11166	ctx_lh_S_parieto_occipital	ctx_lh_S_parieto_occipital	101	100	180	0
11167	ctx_lh_S_pericallosal	ctx_lh_S_pericallosal	181	220	20	0
11168	ctx_lh_S_postcentral	ctx_lh_S_postcentral	21	140	200	0
11169	ctx_lh_S_precentral-inf-part	ctx_lh_S_precentral-inf-part	21	20	240	0
11170	ctx_lh_S_precentral-sup-part	ctx_lh_S_precentral-sup-part	21	20	200	0
11171	ctx_lh_S_suborbital	ctx_lh_S_suborbital	21	20	60	0
11172	ctx_lh_S_subparietal	ctx_lh_S_subparietal	101	60	60	0
11173	ctx_lh_S_temporal_inf	ctx_lh_S_temporal_inf	21	180	180	0
11174	ctx_lh_S_temporal_sup	ctx_lh_S_temporal_sup	223	220	60	0
11175	ctx_lh_S_temporal_transverse	ctx_lh_S_temporal_transverse	221	60	60	0
12100	ctx_rh_Unknown	ctx_rh_Unknown	0	0	0	0
12101	ctx_rh_G_and_S_frontomargin	ctx_rh_G_and_S_frontomargin	23	220	60	0
12102	ctx_rh_G_and_S_occipital_inf	ctx_rh_G_and_S_occipital_inf	23	60	180	0
12103	ctx_rh_G_and_S_paracentral	ctx_rh_G_and_S_paracentral	63	100	60	0
12104	ctx_rh_G_and_S_subcentral	ctx_rh_G_and_S_subcentral	63	20	220	0
12105	ctx_rh_G_and_S_transv_frontopol	ctx_rh_G_and_S_transv_frontopol	13	0	250	0
12106	ctx_rh_G_and_S_cingul-Ant	ctx_rh_G_and_S_cingul-Ant	26	60	0	0
12107	ctx_rh_G_and_S_cingul-Mid-Ant	ctx_rh_G_and_S_cingul-Mid-Ant	26	60	75	0
12108	ctx_rh_G_and_S_cingul-Mid-Post	ctx_rh_G_and_S_cingul-Mid-Post	26	60	150	0
12109	ctx_rh_G_cingul-Post-dorsal	ctx_rh_G_cingul-Post-dorsal	25	60	250	0
12110	ctx_rh_G_cingul-Post-ventral	ctx_rh_G_cingul-Post-ventral	60	25	25	0
12111	ctx_rh_G_cuneus	ctx_rh_G_cuneus	180	20	20	0
12112	ctx_rh_G_front_inf-Opercular	ctx_rh_G_front_inf-Opercular	220	20	100	0
12113	ctx_rh_G_front_inf-Orbital	ctx_rh_G_front_inf-Orbital	140	60	60	0
12114	ctx_rh_G_front_inf-Triangul	ctx_rh_G_front_inf-Triangul	180	220	140	0
12115	ctx_rh_G_front_middle	ctx_rh_G_front_middle	140	100	180	0
12116	ctx_rh_G_front_sup	ctx_rh_G_front_sup	180	20	140	0
12117	ctx_rh_G_Ins_lg_and_S_cent_ins	ctx_rh_G_Ins_lg_and_S_cent_ins	23	10	10	0
12118	ctx_rh_G_insular_short	ctx_rh_G_insular_short	225	140	140	0
12119	ctx_rh_G_occipital_middle	ctx_rh_G_occipital_middle	180	60	180	0
12120	ctx_rh_G_occipital_sup	ctx_rh_G_occipital_sup	20	220	60	0
12121	ctx_rh_G_oc-temp_lat-fusifor	ctx_rh_G_oc-temp_lat-fusifor	60	20	140	0
12122	ctx_rh_G_oc-temp_med-Lingual	ctx_rh_G_oc-temp_med-Lingual	220	180	140	0
12123	ctx_rh_G_oc-temp_med-Parahip	ctx_rh_G_oc-temp_med-Parahip	65	100	20	0
12124	ctx_rh_G_orbital	ctx_rh_G_orbital	220	60	20	0
12125	ctx_rh_G_pariet_inf-Angular	ctx_rh_G_pariet_inf-Angular	20	60	220	0
12126	ctx_rh_G_pariet_inf-Supramar	ctx_rh_G_pariet_inf-Supramar	100	100	60	0
12127	ctx_rh_G_parietal_sup	ctx_rh_G_parietal_sup	220	180	220	0
12128	ctx_rh_G_postcentral	ctx_rh_G_postcentral	20	180	140	0
12129	ctx_rh_G_precentral	ctx_rh_G_precentral	60	140	180	0
12130	ctx_rh_G_precuneus	ctx_rh_G_precuneus	25	20	140	0
12131	ctx_rh_G_rectus	ctx_rh_G_rectus	20	60	100	0
12132	ctx_rh_G_subcallosal	ctx_rh_G_subcallosal	60	220	20	0
12133	ctx_rh_G_temp_sup-G_T_transv	ctx_rh_G_temp_sup-G_T_transv	60	60	220	0
12134	ctx_rh_G_temp_sup-Lateral	ctx_rh_G_temp_sup-Lateral	220	60	220	0
12135	ctx_rh_G_temp_sup-Plan_polar	ctx_rh_G_temp_sup-Plan_polar	65	220	60	0
12136	ctx_rh_G_temp_sup-Plan_tempo	ctx_rh_G_temp_sup-Plan_tempo	25	140	20	0
12137	ctx_rh_G_temporal_inf	ctx_rh_G_temporal_inf	220	220	100	0
12138	ctx_rh_G_temporal_middle	ctx_rh_G_temporal_middle	180	60	60	0
12139	ctx_rh_Lat_Fis-ant-Horizont	ctx_rh_Lat_Fis-ant-Horizont	61	20	220	0
12140	ctx_rh_Lat_Fis-ant-Vertical	ctx_rh_Lat_Fis-ant-Vertical	61	20	60	0
12141	ctx_rh_Lat_Fis-post	ctx_rh_Lat_Fis-post	61	60	100	0
12142	ctx_rh_Medial_wall	ctx_rh_Medial_wall	25	25	25	0
12143	ctx_rh_Pole_occipital	ctx_rh_Pole_occipital	140	20	60	0
12144	ctx_rh_Pole_temporal	ctx_rh_Pole_temporal	220	180	20	0
12145	ctx_rh_S_calcarine	ctx_rh_S_calcarine	63	180	180	0
12146	ctx_rh_S_central	ctx_rh_S_central	221	20	10	0
12147	ctx_rh_S_cingul-Marginalis	ctx_rh_S_cingul-Marginalis	221	20	100	0
12148	ctx_rh_S_circular_insula_ant	ctx_rh_S_circular_insula_ant	221	60	140	0
12149	ctx_rh_S_circular_insula_inf	ctx_rh_S_circular_insula_inf	221	20	220	0
12150	ctx_rh_S_circular_insula_sup	ctx_rh_S_circular_insula_sup	61	220	220	0
12151	ctx_rh_S_collat_transv_ant	ctx_rh_S_collat_transv_ant	100	200	200	0
12152	ctx_rh_S_collat_transv_post	ctx_rh_S_collat_transv_post	10	200	200	0
12153	ctx_rh_S_front_inf	ctx_rh_S_front_inf	221	220	20	0
12154	ctx_rh_S_front_middle	ctx_rh_S_front_middle	141	20	100	0
12155	ctx_rh_S_front_sup	ctx_rh_S_front_sup	61	220	100	0
12156	ctx_rh_S_interm_prim-Jensen	ctx_rh_S_interm_prim-Jensen	141	60	20	0
12157	ctx_rh_S_intrapariet_and_P_trans	ctx_rh_S_intrapariet_and_P_trans	143	20	220	0
12158	ctx_rh_S_oc_middle_and_Lunatus	ctx_rh_S_oc_middle_and_Lunatus	101	60	220	0
12159	ctx_rh_S_oc_sup_and_transversal	ctx_rh_S_oc_sup_and_transversal	21	20	140	0
12160	ctx_rh_S_occipital_ant	ctx_rh_S_occipital_ant	61	20	180	0
12161	ctx_rh_S_oc-temp_lat	ctx_rh_S_oc-temp_lat	221	140	20	0
12162	ctx_rh_S_oc-temp_med_and_Lingual	ctx_rh_S_oc-temp_med_and_Lingual	141	100	220	0
12163	ctx_rh_S_orbital_lateral	ctx_rh_S_orbital_lateral	221	100	20	0
12164	ctx_rh_S_orbital_med-olfact	ctx_rh_S_orbital_med-olfact	181	200	20	0
12165	ctx_rh_S_orbital-H_Shaped	ctx_rh_S_orbital-H_Shaped	101	20	20	0
12166	ctx_rh_S_parieto_occipital	ctx_rh_S_parieto_occipital	101	100	180	0
12167	ctx_rh_S_pericallosal	ctx_rh_S_pericallosal	181	220	20	0
12168	ctx_rh_S_postcentral	ctx_rh_S_postcentral	21	140	200	0
12169	ctx_rh_S_precentral-inf-part	ctx_rh_S_precentral-inf-part	21	20	240	0
12170	ctx_rh_S_precentral-sup-part	ctx_rh_S_precentral-sup-part	21	20	200	0
12171	ctx_rh_S_suborbital	ctx_rh_S_suborbital	21	20	60	0
12172	ctx_rh_S_subparietal	ctx_rh_S_subparietal	101	60	60	0
12173	ctx_rh_S_temporal_inf	ctx_rh_S_temporal_inf	21	180	180	0
12174	ctx_rh_S_temporal_sup	ctx_rh_S_temporal_sup	223	220	60	0
12175	ctx_rh_S_temporal_transverse	ctx_rh_S_temporal_transverse	221	60	60	0
13100	wm_lh_Unknown	wm_lh_Unknown	0	0	0	0
13101	wm_lh_G_and_S_frontomargin	wm_lh_G_and_S_frontomargin	23	220	60	0
13102	wm_lh_G_and_S_occipital_inf	wm_lh_G_and_S_occipital_inf	23	60	180	0
13103	wm_lh_G_and_S_paracentral	wm_lh_G_and_S_paracentral	63	100	60	0
13104	wm_lh_G_and_S_subcentral	wm_lh_G_and_S_subcentral	63	20	220	0
13105	wm_lh_G_and_S_transv_frontopol	wm_lh_G_and_S_transv_frontopol	13	0	250	0
13106	wm_lh_G_and_S_cingul-Ant	wm_lh_G_and_S_cingul-Ant	26	60	0	0
13107	wm_lh_G_and_S_cingul-Mid-Ant	wm_lh_G_and_S_cingul-Mid-Ant	26	60	75	0
13108	wm_lh_G_and_S_cingul-Mid-Post	wm_lh_G_and_S_cingul-Mid-Post	26	60	150	0
13109	wm_lh_G_cingul-Post-dorsal	wm_lh_G_cingul-Post-dorsal	25	60	250	0
13110	wm_lh_G_cingul-Post-ventral	wm_lh_G_cingul-Post-ventral	60	25	25	0
13111	wm_lh_G_cuneus	wm_lh_G_cuneus	180	20	20	0
13112	wm_lh_G_front_inf-Opercular	wm_lh_G_front_inf-Opercular	220	20	100	0
13113	wm_lh_G_front_inf-Orbital	wm_lh_G_front_inf-Orbital	140	60	60	0
13114	wm_lh_G_front_inf-Triangul	wm_lh_G_front_inf-Triangul	180	220	140	0
13115	wm_lh_G_front_middle	wm_lh_G_front_middle	140	100	180	0
13116	wm_lh_G_front_sup	wm_lh_G_front_sup	180	20	140	0
13117	wm_lh_G_Ins_lg_and_S_cent_ins	wm_lh_G_Ins_lg_and_S_cent_ins	23	10	10	0
13118	wm_lh_G_insular_short	wm_lh_G_insular_short	225	140	140	0
13119	wm_lh_G_occipital_middle	wm_lh_G_occipital_middle	180	60	180	0
13120	wm_lh_G_occipital_sup	wm_lh_G_occipital_sup	20	220	60	0
13121	wm_lh_G_oc-temp_lat-fusifor	wm_lh_G_oc-temp_lat-fusifor	60	20	140	0
13122	wm_lh_G_oc-temp_med-Lingual	wm_lh_G_oc-temp_med-Lingual	220	180	140	0
13123	wm_lh_G_oc-temp_med-Parahip	wm_lh_G_oc-temp_med-Parahip	65	100	20	0
13124	wm_lh_G_orbital	wm_lh_G_orbital	220	60	20	0
13125	wm_lh_G_pariet_inf-Angular	wm_lh_G_pariet_inf-Angular	20	60	220	0
13126	wm_lh_G_pariet_inf-Supramar	wm_lh_G_pariet_inf-Supramar	100	100	60	0
13127	wm_lh_G_parietal_sup	wm_lh_G_parietal_sup	220	180	220	0
13128	wm_lh_G_postcentral	wm_lh_G_postcentral	20	180	140	0
13129	wm_lh_G_precentral	wm_lh_G_precentral	60	140	180	0
13130	wm_lh_G_precuneus	wm_lh_G_precuneus	25	20	140	0
13131	wm_lh_G_rectus	wm_lh_G_rectus	20	60	100	0
13132	wm_lh_G_subcallosal	wm_lh_G_subcallosal	60	220	20	0
13133	wm_lh_G_temp_sup-G_T_transv	wm_lh_G_temp_sup-G_T_transv	60	60	220	0
13134	wm_lh_G_temp_sup-Lateral	wm_lh_G_temp_sup-Lateral	220	60	220	0
13135	wm_lh_G_temp_sup-Plan_polar	wm_lh_G_temp_sup-Plan_polar	65	220	60	0
13136	wm_lh_G_temp_sup-Plan_tempo	wm_lh_G_temp_sup-Plan_tempo	25	140	20	0
13137	wm_lh_G_temporal_inf	wm_lh_G_temporal_inf	220	220	100	0
13138	wm_lh_G_temporal_middle	wm_lh_G_temporal_middle	180	60	60	0
13139	wm_lh_Lat_Fis-ant-Horizont	wm_lh_Lat_Fis-ant-Horizont	61	20	220	0
13140	wm_lh_Lat_Fis-ant-Vertical	wm_lh_Lat_Fis-ant-Vertical	61	20	60	0
13141	wm_lh_Lat_Fis-post	wm_lh_Lat_Fis-post	61	60	100	0
13142	wm_lh_Medial_wall	wm_lh_Medial_wall	25	25	25	0
13143	wm_lh_Pole_occipital	wm_lh_Pole_occipital	140	20	60	0
13144	wm_lh_Pole_temporal	wm_lh_Pole_temporal	220	180	20	0
13145	wm_lh_S_calcarine	wm_lh_S_calcarine	63	180	180	0
13146	wm_lh_S_central	wm_lh_S_central	221	20	10	0
13147	wm_lh_S_cingul-Marginalis	wm_lh_S_cingul-Marginalis	221	20	100	0
13148	wm_lh_S_circular_insula_ant	wm_lh_S_circular_insula_ant	221	60	140	0
13149	wm_lh_S_circular_insula_inf	wm_lh_S_circular_insula_inf	221	20	220	0
13150	wm_lh_S_circular_insula_sup	wm_lh_S_circular_insula_sup	61	220	220	0
13151	wm_lh_S_collat_transv_ant	wm_lh_S_collat_transv_ant	100	200	200	0
13152	wm_lh_S_collat_transv_post	wm_lh_S_collat_transv_post	10	200	200	0
13153	wm_lh_S_front_inf	wm_lh_S_front_inf	221	220	20	0
13154	wm_lh_S_front_middle	wm_lh_S_front_middle	141	20	100	0
13155	wm_lh_S_front_sup	wm_lh_S_front_sup	61	220	100	0
13156	wm_lh_S_interm_prim-Jensen	wm_lh_S_interm_prim-Jensen	141	60	20	0
13157	wm_lh_S_intrapariet_and_P_trans	wm_lh_S_intrapariet_and_P_trans	143	20	220	0
13158	wm_lh_S_oc_middle_and_Lunatus	wm_lh_S_oc_middle_and_Lunatus	101	60	220	0
13159	wm_lh_S_oc_sup_and_transversal	wm_lh_S_oc_sup_and_transversal	21	20	140	0
13160	wm_lh_S_occipital_ant	wm_lh_S_occipital_ant	61	20	180	0
13161	wm_lh_S_oc-temp_lat	wm_lh_S_oc-temp_lat	221	140	20	0
13162	wm_lh_S_oc-temp_med_and_Lingual	wm_lh_S_oc-temp_med_and_Lingual	141	100	220	0
13163	wm_lh_S_orbital_lateral	wm_lh_S_orbital_lateral	221	100	20	0
13164	wm_lh_S_orbital_med-olfact	wm_lh_S_orbital_med-olfact	181	200	20	0
13165	wm_lh_S_orbital-H_Shaped	wm_lh_S_orbital-H_Shaped	101	20	20	0
13166	wm_lh_S_parieto_occipital	wm_lh_S_parieto_occipital	101	100	180	0
13167	wm_lh_S_pericallosal	wm_lh_S_pericallosal	181	220	20	0
13168	wm_lh_S_postcentral	wm_lh_S_postcentral	21	140	200	0
13169	wm_lh_S_precentral-inf-part	wm_lh_S_precentral-inf-part	21	20	240	0
13170	wm_lh_S_precentral-sup-part	wm_lh_S_precentral-sup-part	21	20	200	0
13171	wm_lh_S_suborbital	wm_lh_S_suborbital	21	20	60	0
13172	wm_lh_S_subparietal	wm_lh_S_subparietal	101	60	60	0
13173	wm_lh_S_temporal_inf	wm_lh_S_temporal_inf	21	180	180	0
13174	wm_lh_S_temporal_sup	wm_lh_S_temporal_sup	223	220	60	0
13175	wm_lh_S_temporal_transverse	wm_lh_S_temporal_transverse	221	60	60	0
14100	wm_rh_Unknown	wm_rh_Unknown	0	0	0	0
14101	wm_rh_G_and_S_frontomargin	wm_rh_G_and_S_frontomargin	23	220	60	0
14102	wm_rh_G_and_S_occipital_inf	wm_rh_G_and_S_occipital_inf	23	60	180	0
14103	wm_rh_G_and_S_paracentral	wm_rh_G_and_S_paracentral	63	100	60	0
14104	wm_rh_G_and_S_subcentral	wm_rh_G_and_S_subcentral	63	20	220	0
14105	wm_rh_G_and_S_transv_frontopol	wm_rh_G_and_S_transv_frontopol	13	0	250	0
14106	wm_rh_G_and_S_cingul-Ant	wm_rh_G_and_S_cingul-Ant	26	60	0	0
14107	wm_rh_G_and_S_cingul-Mid-Ant	wm_rh_G_and_S_cingul-Mid-Ant	26	60	75	0
14108	wm_rh_G_and_S_cingul-Mid-Post	wm_rh_G_and_S_cingul-Mid-Post	26	60	150	0
14109	wm_rh_G_cingul-Post-dorsal	wm_rh_G_cingul-Post-dorsal	25	60	250	0
14110	wm_rh_G_cingul-Post-ventral	wm_rh_G_cingul-Post-ventral	60	25	25	0
14111	wm_rh_G_cuneus	wm_rh_G_cuneus	180	20	20	0
14112	wm_rh_G_front_inf-Opercular	wm_rh_G_front_inf-Opercular	220	20	100	0
14113	wm_rh_G_front_inf-Orbital	wm_rh_G_front_inf-Orbital	140	60	60	0
14114	wm_rh_G_front_inf-Triangul	wm_rh_G_front_inf-Triangul	180	220	140	0
14115	wm_rh_G_front_middle	wm_rh_G_front_middle	140	100	180	0
14116	wm_rh_G_front_sup	wm_rh_G_front_sup	180	20	140	0
14117	wm_rh_G_Ins_lg_and_S_cent_ins	wm_rh_G_Ins_lg_and_S_cent_ins	23	10	10	0
14118	wm_rh_G_insular_short	wm_rh_G_insular_short	225	140	140	0
14119	wm_rh_G_occipital_middle	wm_rh_G_occipital_middle	180	60	180	0
14120	wm_rh_G_occipital_sup	wm_rh_G_occipital_sup	20	220	60	0
14121	wm_rh_G_oc-temp_lat-fusifor	wm_rh_G_oc-temp_lat-fusifor	60	20	140	0
14122	wm_rh_G_oc-temp_med-Lingual	wm_rh_G_oc-temp_med-Lingual	220	180	140	0
14123	wm_rh_G_oc-temp_med-Parahip	wm_rh_G_oc-temp_med-Parahip	65	100	20	0
14124	wm_rh_G_orbital	wm_rh_G_orbital	220	60	20	0
14125	wm_rh_G_pariet_inf-Angular	wm_rh_G_pariet_inf-Angular	20	60	220	0
14126	wm_rh_G_pariet_inf-Supramar	wm_rh_G_pariet_inf-Supramar	100	100	60	0
14127	wm_rh_G_parietal_sup	wm_rh_G_parietal_sup	220	180	220	0
14128	wm_rh_G_postcentral	wm_rh_G_postcentral	20	180	140	0
14129	wm_rh_G_precentral	wm_rh_G_precentral	60	140	180	0
14130	wm_rh_G_precuneus	wm_rh_G_precuneus	25	20	140	0
14131	wm_rh_G_rectus	wm_rh_G_rectus	20	60	100	0
14132	wm_rh_G_subcallosal	wm_rh_G_subcallosal	60	220	20	0
14133	wm_rh_G_temp_sup-G_T_transv	wm_rh_G_temp_sup-G_T_transv	60	60	220	0
14134	wm_rh_G_temp_sup-Lateral	wm_rh_G_temp_sup-Lateral	220	60	220	0
14135	wm_rh_G_temp_sup-Plan_polar	wm_rh_G_temp_sup-Plan_polar	65	220	60	0
14136	wm_rh_G_temp_sup-Plan_tempo	wm_rh_G_temp_sup-Plan_tempo	25	140	20	0
14137	wm_rh_G_temporal_inf	wm_rh_G_temporal_inf	220	220	100	0
14138	wm_rh_G_temporal_middle	wm_rh_G_temporal_middle	180	60	60	0
14139	wm_rh_Lat_Fis-ant-Horizont	wm_rh_Lat_Fis-ant-Horizont	61	20	220	0
14140	wm_rh_Lat_Fis-ant-Vertical	wm_rh_Lat_Fis-ant-Vertical	61	20	60	0
14141	wm_rh_Lat_Fis-post	wm_rh_Lat_Fis-post	61	60	100	0
14142	wm_rh_Medial_wall	wm_rh_Medial_wall	25	25	25	0
14143	wm_rh_Pole_occipital	wm_rh_Pole_occipital	140	20	60	0
14144	wm_rh_Pole_temporal	wm_rh_Pole_temporal	220	180	20	0
14145	wm_rh_S_calcarine	wm_rh_S_calcarine	63	180	180	0
14146	wm_rh_S_central	wm_rh_S_central	221	20	10	0
14147	wm_rh_S_cingul-Marginalis	wm_rh_S_cingul-Marginalis	221	20	100	0
14148	wm_rh_S_circular_insula_ant	wm_rh_S_circular_insula_ant	221	60	140	0
14149	wm_rh_S_circular_insula_inf	wm_rh_S_circular_insula_inf	221	20	220	0
14150	wm_rh_S_circular_insula_sup	wm_rh_S_circular_insula_sup	61	220	220	0
14151	wm_rh_S_collat_transv_ant	wm_rh_S_collat_transv_ant	100	200	200	0
14152	wm_rh_S_collat_transv_post	wm_rh_S_collat_transv_post	10	200	200	0
14153	wm_rh_S_front_inf	wm_rh_S_front_inf	221	220	20	0
14154	wm_rh_S_front_middle	wm_rh_S_front_middle	141	20	100	0
14155	wm_rh_S_front_sup	wm_rh_S_front_sup	61	220	100	0
14156	wm_rh_S_interm_prim-Jensen	wm_rh_S_interm_prim-Jensen	141	60	20	0
14157	wm_rh_S_intrapariet_and_P_trans	wm_rh_S_intrapariet_and_P_trans	143	20	220	0
14158	wm_rh_S_oc_middle_and_Lunatus	wm_rh_S_oc_middle_and_Lunatus	101	60	220	0
14159	wm_rh_S_oc_sup_and_transversal	wm_rh_S_oc_sup_and_transversal	21	20	140	0
14160	wm_rh_S_occipital_ant	wm_rh_S_occipital_ant	61	20	180	0
14161	wm_rh_S_oc-temp_lat	wm_rh_S_oc-temp_lat	221	140	20	0
14162	wm_rh_S_oc-temp_med_and_Lingual	wm_rh_S_oc-temp_med_and_Lingual	141	100	220	0
14163	wm_rh_S_orbital_lateral	wm_rh_S_orbital_lateral	221	100	20	0
14164	wm_rh_S_orbital_med-olfact	wm_rh_S_orbital_med-olfact	181	200	20	0
14165	wm_rh_S_orbital-H_Shaped	wm_rh_S_orbital-H_Shaped	101	20	20	0
14166	wm_rh_S_parieto_occipital	wm_rh_S_parieto_occipital	101	100	180	0
14167	wm_rh_S_pericallosal	wm_rh_S_pericallosal	181	220	20	0
14168	wm_rh_S_postcentral	wm_rh_S_postcentral	21	140	200	0
14169	wm_rh_S_precentral-inf-part	wm_rh_S_precentral-inf-part	21	20	240	0
14170	wm_rh_S_precentral-sup-part	wm_rh_S_precentral-sup-part	21	20	200	0
14171	wm_rh_S_suborbital	wm_rh_S_suborbital	21	20	60	0
14172	wm_rh_S_subparietal	wm_rh_S_subparietal	101	60	60	0
14173	wm_rh_S_temporal_inf	wm_rh_S_temporal_inf	21	180	180	0
14174	wm_rh_S_temporal_sup	wm_rh_S_temporal_sup	223	220	60	0
14175	wm_rh_S_temporal_transverse	wm_rh_S_temporal_transverse	221	60	60	0
